event_type,t_start,t_end,metric,value,severity
anomaly,87,89,S(t),4.415647,medium
anomaly,91,94,S(t),5.249796,medium
anomaly,92,94,S(t),4.823477,medium
anomaly,187,189,S(t),4.415647,medium
anomaly,191,194,S(t),5.249796,medium
anomaly,192,194,S(t),4.823477,medium
anomaly,287,289,S(t),4.415647,medium
anomaly,291,294,S(t),5.249796,medium
anomaly,292,294,S(t),4.823477,medium
anomaly,387,389,S(t),4.415647,medium
anomaly,391,394,S(t),5.249796,medium
anomaly,392,394,S(t),4.823477,medium
anomaly,487,489,S(t),4.415647,medium
anomaly,491,494,S(t),5.249796,medium
anomaly,492,494,S(t),4.823477,medium
anomaly,587,589,S(t),4.415647,medium
anomaly,591,594,S(t),5.249796,medium
anomaly,592,594,S(t),4.823477,medium
anomaly,687,689,S(t),4.415647,medium
anomaly,691,694,S(t),5.249796,medium
anomaly,692,694,S(t),4.823477,medium
anomaly,787,789,S(t),4.415647,medium
anomaly,791,794,S(t),5.249796,medium
anomaly,792,794,S(t),4.823477,medium
anomaly,887,889,S(t),4.415647,medium
anomaly,891,894,S(t),5.249796,medium
anomaly,892,894,S(t),4.823477,medium
anomaly,987,989,S(t),4.415647,medium
anomaly,991,994,S(t),5.249796,medium
anomaly,992,994,S(t),4.823477,medium
anomaly,1087,1089,S(t),4.415647,medium
anomaly,1091,1094,S(t),5.249796,medium
anomaly,1092,1094,S(t),4.823477,medium
anomaly,1187,1189,S(t),4.415647,medium
anomaly,1191,1194,S(t),5.249796,medium
anomaly,1192,1194,S(t),4.823477,medium
anomaly,1287,1289,S(t),4.415647,medium
anomaly,1291,1294,S(t),5.249796,medium
anomaly,1292,1294,S(t),4.823477,medium
anomaly,1387,1389,S(t),4.415647,medium
anomaly,1391,1394,S(t),5.249796,medium
anomaly,1392,1394,S(t),4.823477,medium
anomaly,1487,1489,S(t),4.415647,medium
anomaly,1491,1494,S(t),5.249796,medium
anomaly,1492,1494,S(t),4.823477,medium
anomaly,1587,1589,S(t),4.415647,medium
anomaly,1591,1594,S(t),5.249796,medium
anomaly,1592,1594,S(t),4.823477,medium
anomaly,1687,1689,S(t),4.415647,medium
anomaly,1691,1694,S(t),5.249796,medium
anomaly,1692,1694,S(t),4.823477,medium
anomaly,1787,1789,S(t),4.415647,medium
anomaly,1791,1794,S(t),5.249796,medium
anomaly,1792,1794,S(t),4.823477,medium
anomaly,1887,1889,S(t),4.415647,medium
anomaly,1891,1894,S(t),5.249796,medium
anomaly,1892,1894,S(t),4.823477,medium
anomaly,1987,1989,S(t),4.415647,medium
anomaly,1991,1994,S(t),5.249796,medium
anomaly,1992,1994,S(t),4.823477,medium
anomaly,2087,2089,S(t),4.415647,medium
anomaly,2091,2094,S(t),5.249796,medium
anomaly,2092,2094,S(t),4.823477,medium
anomaly,2187,2189,S(t),4.415647,medium
anomaly,2191,2194,S(t),5.249796,medium
anomaly,2192,2194,S(t),4.823477,medium
anomaly,2287,2289,S(t),4.415647,medium
anomaly,2291,2294,S(t),5.249796,medium
anomaly,2292,2294,S(t),4.823477,medium
anomaly,2387,2389,S(t),4.415647,medium
anomaly,2391,2394,S(t),5.249796,medium
anomaly,2392,2394,S(t),4.823477,medium
anomaly,2487,2489,S(t),4.415647,medium
anomaly,2491,2494,S(t),5.249796,medium
anomaly,2492,2494,S(t),4.823477,medium
anomaly,2587,2589,S(t),4.415647,medium
anomaly,2591,2594,S(t),5.249796,medium
anomaly,2592,2594,S(t),4.823477,medium
anomaly,2687,2689,S(t),4.415647,medium
anomaly,2691,2694,S(t),5.249796,medium
anomaly,2692,2694,S(t),4.823477,medium
anomaly,2787,2789,S(t),4.415647,medium
anomaly,2791,2794,S(t),5.249796,medium
anomaly,2792,2794,S(t),4.823477,medium
anomaly,2887,2889,S(t),4.415647,medium
anomaly,2891,2894,S(t),5.249796,medium
anomaly,2892,2894,S(t),4.823477,medium
anomaly,2987,2989,S(t),4.415647,medium
anomaly,2991,2994,S(t),5.249796,medium
anomaly,2992,2994,S(t),4.823477,medium
anomaly,3087,3089,S(t),4.415647,medium
anomaly,3091,3094,S(t),5.249796,medium
anomaly,3092,3094,S(t),4.823477,medium
anomaly,3187,3189,S(t),4.415647,medium
anomaly,3191,3194,S(t),5.249796,medium
anomaly,3192,3194,S(t),4.823477,medium
anomaly,3287,3289,S(t),4.415647,medium
anomaly,3291,3294,S(t),5.249796,medium
anomaly,3292,3294,S(t),4.823477,medium
anomaly,3387,3389,S(t),4.415647,medium
anomaly,3391,3394,S(t),5.249796,medium
anomaly,3392,3394,S(t),4.823477,medium
anomaly,3487,3489,S(t),4.415647,medium
anomaly,3491,3494,S(t),5.249796,medium
anomaly,3492,3494,S(t),4.823477,medium
anomaly,3587,3589,S(t),4.415647,medium
anomaly,3591,3594,S(t),5.249796,medium
anomaly,3592,3594,S(t),4.823477,medium
anomaly,3687,3689,S(t),4.415647,medium
anomaly,3691,3694,S(t),5.249796,medium
anomaly,3692,3694,S(t),4.823477,medium
anomaly,3787,3789,S(t),4.415647,medium
anomaly,3791,3794,S(t),5.249796,medium
anomaly,3792,3794,S(t),4.823477,medium
anomaly,3887,3889,S(t),4.415647,medium
anomaly,3891,3894,S(t),5.249796,medium
anomaly,3892,3894,S(t),4.823477,medium
anomaly,3987,3989,S(t),4.415647,medium
anomaly,3991,3994,S(t),5.249796,medium
anomaly,3992,3994,S(t),4.823477,medium
anomaly,4087,4089,S(t),4.415647,medium
anomaly,4091,4094,S(t),5.249796,medium
anomaly,4092,4094,S(t),4.823477,medium
anomaly,4187,4189,S(t),4.415647,medium
anomaly,4191,4194,S(t),5.249796,medium
anomaly,4192,4194,S(t),4.823477,medium
anomaly,4287,4289,S(t),4.415647,medium
anomaly,4291,4294,S(t),5.249796,medium
anomaly,4292,4294,S(t),4.823477,medium
anomaly,4387,4389,S(t),4.415647,medium
anomaly,4391,4394,S(t),5.249796,medium
anomaly,4392,4394,S(t),4.823477,medium
anomaly,4487,4489,S(t),4.415647,medium
anomaly,4491,4494,S(t),5.249796,medium
anomaly,4492,4494,S(t),4.823477,medium
anomaly,4587,4589,S(t),4.415647,medium
anomaly,4591,4594,S(t),5.249796,medium
anomaly,4592,4594,S(t),4.823477,medium
anomaly,4687,4689,S(t),4.415647,medium
anomaly,4691,4694,S(t),5.249796,medium
anomaly,4692,4694,S(t),4.823477,medium
anomaly,4787,4789,S(t),4.415647,medium
anomaly,4791,4794,S(t),5.249796,medium
anomaly,4792,4794,S(t),4.823477,medium
anomaly,4887,4889,S(t),4.415647,medium
anomaly,4891,4894,S(t),5.249796,medium
